Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2019,30,1287,27.9,4.83,4858,38.39,34.3,4.83,8.65,1.76,0.16,1.39,4.63,0.47,0.17,3.27,8.81,0.252,0.323,0.435,0.758,14.92,0.71,0.41,0.16,0.24,0.16
2018,30,1271,28.1,4.45,4862,38.08,34.03,4.45,8.44,1.7,0.17,1.15,4.24,0.51,0.2,3.23,8.48,0.248,0.318,0.409,0.728,13.93,0.71,0.4,0.17,0.25,0.19
2017,30,1229,28.3,4.65,4860,38.13,34.07,4.65,8.69,1.73,0.16,1.26,4.44,0.52,0.19,3.26,8.25,0.255,0.324,0.426,0.75,14.51,0.78,0.36,0.19,0.24,0.2
2016,30,1247,28.4,4.48,4856,38.01,34.09,4.48,8.71,1.7,0.18,1.16,4.27,0.52,0.21,3.11,8.03,0.255,0.322,0.417,0.739,14.23,0.77,0.34,0.21,0.25,0.19
2015,30,1252,28.4,4.25,4858,37.8,34.07,4.25,8.67,1.7,0.19,1.01,4.04,0.52,0.22,2.9,7.71,0.254,0.317,0.405,0.721,13.78,0.77,0.33,0.25,0.25,0.2
2014,30,1212,28.5,4.07,4860,37.85,34.08,4.07,8.56,1.67,0.17,0.86,3.86,0.57,0.21,2.88,7.7,0.251,0.314,0.386,0.7,13.17,0.74,0.34,0.28,0.26,0.2
2013,30,1202,28.5,4.17,4862,38.02,34.16,4.17,8.66,1.69,0.16,0.96,3.96,0.55,0.21,3.01,7.55,0.253,0.318,0.396,0.714,13.54,0.77,0.32,0.28,0.25,0.21
2012,30,1185,28.5,4.32,4860,37.9,34,4.32,8.65,1.7,0.19,1.02,4.11,0.66,0.23,3.03,7.5,0.255,0.319,0.405,0.724,13.78,0.74,0.31,0.3,0.25,0.22
2011,30,1173,28.7,4.28,4858,38.13,34.11,4.28,8.7,1.73,0.18,0.94,4.08,0.67,0.26,3.09,7.1,0.255,0.321,0.399,0.72,13.61,0.73,0.32,0.34,0.26,0.25
2010,30,1157,28.9,4.38,4860,38.18,34.02,4.38,8.76,1.75,0.18,0.95,4.17,0.61,0.23,3.25,7.06,0.257,0.325,0.403,0.728,13.71,0.77,0.32,0.32,0.27,0.25
2009,30,1156,28.8,4.61,4860,38.49,34.13,4.61,8.96,1.8,0.2,1.04,4.4,0.61,0.23,3.42,6.91,0.262,0.333,0.418,0.751,14.26,0.78,0.33,0.34,0.28,0.24
2008,30,1188,28.8,4.65,4856,38.64,34.33,4.65,9.06,1.86,0.18,1,4.44,0.58,0.21,3.36,6.77,0.264,0.333,0.416,0.749,14.29,0.8,0.34,0.31,0.28,0.27
2007,30,1173,29.1,4.8,4862,38.8,34.51,4.8,9.25,1.89,0.19,1.02,4.58,0.6,0.21,3.31,6.62,0.268,0.336,0.423,0.758,14.59,0.82,0.36,0.32,0.3,0.27
2006,30,1134,29.2,4.86,4858,38.71,34.45,4.86,9.28,1.88,0.2,1.11,4.63,0.57,0.23,3.26,6.52,0.269,0.337,0.432,0.768,14.88,0.81,0.37,0.34,0.29,0.29
2005,30,1141,29.2,4.59,4862,38.32,34.21,4.59,9.05,1.82,0.18,1.03,4.37,0.53,0.22,3.13,6.3,0.264,0.33,0.419,0.749,14.33,0.8,0.37,0.33,0.27,0.25
2004,30,1136,29.3,4.81,4856,38.83,34.46,4.81,9.17,1.84,0.18,1.12,4.58,0.53,0.23,3.34,6.55,0.266,0.335,0.428,0.763,14.74,0.78,0.38,0.36,0.28,0.28
2003,30,1134,29.2,4.73,4860,38.57,34.31,4.73,9.07,1.82,0.19,1.07,4.5,0.53,0.23,3.27,6.34,0.264,0.333,0.422,0.755,14.48,0.79,0.38,0.33,0.27,0.27
2002,30,1101,29.2,4.62,4852,38.46,34.13,4.62,8.92,1.79,0.19,1.04,4.4,0.57,0.26,3.35,6.47,0.261,0.331,0.417,0.748,14.22,0.79,0.36,0.34,0.29,0.3
2001,30,1137,29.2,4.78,4858,38.49,34.22,4.78,9.03,1.81,0.19,1.12,4.55,0.64,0.29,3.25,6.67,0.264,0.332,0.427,0.759,14.6,0.75,0.39,0.33,0.29,0.28
2000,30,1132,29.1,5.14,4858,39.16,34.44,5.14,9.31,1.83,0.2,1.17,4.89,0.6,0.27,3.75,6.45,0.27,0.345,0.437,0.782,15.05,0.8,0.32,0.34,0.31,0.25
1999,30,1116,28.9,5.08,4856,39.06,34.42,5.08,9.33,1.8,0.19,1.14,4.83,0.7,0.31,3.68,6.41,0.271,0.345,0.434,0.778,14.93,0.79,0.33,0.33,0.3,0.23
1998,30,1097,28.9,4.79,4864,38.71,34.36,4.79,9.15,1.8,0.18,1.04,4.54,0.68,0.31,3.38,6.56,0.266,0.335,0.42,0.755,14.44,0.76,0.33,0.35,0.29,0.22
1997,28,1051,28.9,4.77,4532,38.73,34.3,4.77,9.15,1.77,0.19,1.02,4.52,0.73,0.35,3.46,6.61,0.267,0.337,0.419,0.756,14.38,0.76,0.32,0.35,0.31,0.26
1996,28,905,28.8,5.04,4534,39.1,34.58,5.04,9.33,1.76,0.19,1.09,4.76,0.71,0.3,3.55,6.46,0.27,0.34,0.427,0.767,14.76,0.8,0.31,0.34,0.31,0.3
1995,28,901,28.6,4.85,4034,38.85,34.35,4.85,9.17,1.72,0.2,1.01,4.57,0.73,0.31,3.53,6.3,0.267,0.338,0.417,0.755,14.33,0.78,0.3,0.37,0.29,0.27
1994,28,782,28.7,4.92,3200,38.9,34.46,4.92,9.29,1.79,0.22,1.03,4.64,0.71,0.32,3.48,6.18,0.27,0.339,0.424,0.763,14.62,0.76,0.27,0.38,0.31,0.32
1993,28,900,28.4,4.6,4538,38.47,34.15,4.6,9.05,1.64,0.21,0.89,4.32,0.72,0.37,3.33,5.8,0.265,0.332,0.403,0.736,13.77,0.76,0.26,0.4,0.32,0.33
1992,26,806,28.4,4.12,4212,38.12,33.93,4.12,8.68,1.56,0.2,0.72,3.87,0.77,0.38,3.25,5.59,0.256,0.322,0.377,0.7,12.8,0.74,0.23,0.4,0.31,0.31
1991,26,816,28.4,4.31,4208,38.2,33.98,4.31,8.69,1.54,0.21,0.8,4.05,0.74,0.37,3.32,5.8,0.256,0.323,0.385,0.708,13.07,0.72,0.22,0.39,0.3,0.29
1990,26,809,28.4,4.26,4210,38.08,33.91,4.26,8.75,1.55,0.21,0.79,3.99,0.78,0.36,3.29,5.67,0.258,0.325,0.385,0.71,13.07,0.73,0.2,0.37,0.3,0.33
1989,26,797,28.5,4.13,4212,37.99,33.91,4.13,8.62,1.5,0.21,0.73,3.85,0.74,0.34,3.21,5.61,0.254,0.32,0.375,0.695,12.72,0.73,0.19,0.39,0.29,0.34
1988,26,769,28.3,4.14,4200,37.95,33.94,4.14,8.63,1.52,0.2,0.76,3.86,0.79,0.34,3.09,5.56,0.254,0.318,0.378,0.696,12.82,0.73,0.22,0.39,0.3,0.33
